,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
96,3904,98851,1752.0,6.5,10.7,17.5,14.7,15.6,17.7,6.7,8.1,1.8,0.6
97,311,98860,157.0,5.1,7.0,19.7,10.2,17.2,24.2,5.7,9.6,1.3,0.0
98,3364,98935,942.0,4.5,5.8,11.3,15.7,26.2,23.0,6.1,5.5,1.9,0.0
99,5929,98936,1828.0,4.1,5.1,10.1,7.7,18.0,23.7,15.8,14.2,0.9,0.3
100,3646,98937,1484.0,2.0,1.6,9.3,6.7,21.9,30.9,13.4,9.3,3.0,1.9
101,977,98943,469.0,0.4,3.8,34.1,10.7,10.2,20.7,7.7,8.1,4.3,0.0
102,3119,98947,919.0,2.5,2.8,10.0,17.3,25.8,18.2,5.9,8.7,6.3,2.5
103,33991,98002,12765.0,7.4,4.4,12.6,13.1,15.0,21.6,12.6,9.5,2.4,1.4
104,24763,98008,9038.0,2.4,2.6,4.4,6.8,11.5,14.9,14.4,16.7,10.3,16.0
105,6946,98014,2634.0,1.6,1.9,2.8,4.3,9.4,14.2,16.4,19.2,13.6,16.6
106,19996,98020,8530.0,4.8,2.4,4.7,8.2,9.0,15.4,10.8,16.5,10.5,17.6
107,45860,98042,16059.0,2.4,1.4,3.1,5.6,8.4,17.2,17.5,25.9,9.8,8.8
108,6775,98047,2382.0,8.0,0.8,6.2,10.5,21.3,23.9,10.2,17.3,0.7,1.0
